author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor
Max Jones,pangeo-data/pangeo-docker-images,2,1693177033,1752097282,681,False
Julia Signell,pangeo-data/pangeo-docker-images,3,1757007766,1777843907,241,True
Wei Ji,pangeo-data/pangeo-docker-images,35,1651087817,1775593759,1441,True
Nathan Zimmermann,pangeo-data/pangeo-docker-images,1,1755131076,1755131076,0,False
Sean Harkins,pangeo-data/pangeo-docker-images,1,1652807321,1652807321,0,False
Chuck Daniels,pangeo-data/pangeo.io,1,1770417128,1770417128,0,True
Max Jones,pangeo-data/pangeo.io,83,1725732031,1777306941,596,True
Wei Ji,pangeo-data/pangeo.io,2,1712167024,1734378416,257,False
Julius Busecke,pangeo-data/pangeo.io,1,1747441439,1747441439,0,False
Aimee Barciauskas,pangeo-data/pangeo.io,2,1726102030,1738699676,145,False
Julia Signell,geopandas/geopandas,2,1581972850,1754056813,1991,False
Wei Ji,geopandas/geopandas,2,1690366793,1723020488,377,False
Kyle Barron,geopandas/geopandas,5,1582668729,1737110760,1787,False
Max Jones,developmentseed/obspec-utils,55,1750448940,1770998265,237,True
Loïc Houpert,developmentseed/obspec-utils,2,1775225985,1775226004,0,True
Alex I. Mandel,conda-forge/r-lasr-feedstock,7,1747337809,1759527798,141,False
Aimee Barciauskas,NASA-Openscapes/earthdata-cloud-cookbook,1,1704926207,1704926207,0,False
Sheyenne Kirkland,NASA-Openscapes/earthdata-cloud-cookbook,12,1752604836,1757425315,55,False
Kyle Barron,georust/geo-svg,9,1749587471,1760628429,127,False
Chuck Daniels,nasa/python_cmr,5,1713803470,1720454415,76,False
Brianna Corremonte,nasa/python_cmr,1,1725558310,1725558310,0,False
Max Jones,earth-mover/icechunk,4,1745962597,1774365650,328,True
Julius Busecke,earth-mover/icechunk,6,1750871426,1772822944,254,True
Aimee Barciauskas,earth-mover/icechunk,4,1728751858,1737782091,104,False
Kyle Barron,earth-mover/icechunk,3,1730388553,1742418148,139,False
Chuck Daniels,stac-utils/pystac,3,1695762411,1695991821,2,False
Julia Signell,stac-utils/pystac,100,1673540508,1775245650,1177,True
Vincent Sarago,stac-utils/pystac,2,1628972729,1689184958,696,False
Alex I. Mandel,stac-utils/pystac,1,1686229285,1686229285,0,False
Nathan Zimmermann,stac-utils/pystac,3,1615410950,1727968071,1302,False
Pete Gadomski,stac-utils/pystac,219,1615497591,1776879296,1867,True
Tarashish Mishra,stac-utils/pystac,1,1651275347,1651275347,0,False
Kyle Barron,stac-utils/pystac,7,1610151341,1613761072,41,False
Wei Ji,stac-utils/rustac-py,2,1757947529,1766111847,94,False
Alex I. Mandel,stac-utils/rustac-py,1,1745067649,1745067649,0,False
Pete Gadomski,stac-utils/rustac-py,244,1732194194,1778174030,532,True
Loïc Houpert,stac-utils/rustac-py,1,1775145405,1775145405,0,True
Henry Rodman,stac-utils/rustac-py,1,1741878854,1741878854,0,False
David Bitner,stac-utils/stac-fastapi-pgstac,16,1614708814,1753284283,1603,False
Vincent Sarago,stac-utils/stac-fastapi-pgstac,98,1612750031,1770723914,1828,True
Anthony Lukach,stac-utils/stac-fastapi-pgstac,9,1644958397,1764690687,1385,False
Daniel Wiesmann,stac-utils/stac-fastapi-pgstac,2,1641522863,1657726810,187,False
Nathan Zimmermann,stac-utils/stac-fastapi-pgstac,19,1623129662,1642534913,224,False
Pete Gadomski,stac-utils/stac-fastapi-pgstac,40,1668699025,1763641648,1098,False
Loïc Houpert,stac-utils/stac-fastapi-pgstac,1,1776774012,1776774012,0,True
Henry Rodman,stac-utils/stac-fastapi-pgstac,6,1727879036,1769175942,477,False
Kyle Barron,stac-utils/stac-fastapi-pgstac,1,1611974060,1611974060,0,False
Julia Signell,stac-utils/xpystac,41,1674856260,1761327990,1000,False
Wei Ji,stac-utils/xpystac,1,1680094039,1680094039,0,False
David Bitner,stac-utils/pgstac,116,1617043026,1777932282,1862,True
Vincent Sarago,stac-utils/pgstac,16,1629211830,1728931564,1154,False
Zac Deziel,stac-utils/pgstac,3,1695240580,1715606689,235,False
Anthony Lukach,stac-utils/pgstac,2,1658154589,1765220056,1239,False
Pete Gadomski,stac-utils/pgstac,4,1675715256,1740152237,745,False
Loïc Houpert,stac-utils/pgstac,2,1775143873,1775143897,0,True
Henry Rodman,stac-utils/pgstac,14,1717518594,1769120086,597,False
Kyle Barron,stac-utils/pgstac,2,1714395441,1714402605,0,False
Chuck Daniels,stac-utils/pystac-client,2,1695241897,1695762480,6,False
Julia Signell,stac-utils/pystac-client,20,1681915703,1765896790,972,False
Wei Ji,stac-utils/pystac-client,1,1663414900,1663414900,0,False
Pete Gadomski,stac-utils/pystac-client,164,1618344622,1753978301,1569,False
Loïc Houpert,stac-utils/pystac-client,1,1775143868,1775143868,0,True
Henry Rodman,stac-utils/pystac-client,1,1728998645,1728998645,0,False
Julia Signell,numbagg/numbagg,1,1754670841,1754670841,0,False
Max Jones,virtual-zarr/virtual-tiff,69,1736975367,1777498552,469,True
Julia Signell,virtual-zarr/virtual-tiff,1,1757710007,1757710007,0,False
Vincent Sarago,virtual-zarr/virtual-tiff,1,1737466848,1737466848,0,False
Sean Harkins,virtual-zarr/hrrr-parser,20,1752516316,1773163212,238,True
Kyle Barron,flatgeobuf/flatgeobuf,13,1692545889,1754002585,711,False
Julia Signell,holoviz/hvplot,76,1538678946,1714677378,2037,False
Wei Ji,geoarrow/geoarrow-rs,1,1707150354,1707150354,0,False
Pete Gadomski,geoarrow/geoarrow-rs,17,1716371124,1774282879,670,True
Loïc Houpert,geoarrow/geoarrow-rs,1,1775156051,1775156051,0,True
Kyle Barron,geoarrow/geoarrow-rs,847,1688163503,1774622134,1000,True
Loïc Houpert,geoarrow/deck.gl-geoarrow,1,1775154905,1775154905,0,True
Kyle Barron,geoarrow/deck.gl-geoarrow,108,1691436871,1778161012,1003,True
Chuck Daniels,jupyterhub/repo2docker,1,1772819490,1772819490,0,True
Wei Ji,jupyterhub/repo2docker,7,1742763175,1760565438,206,False
Kyle Barron,apache/arrow-rs,20,1647433381,1758308569,1283,False
Aimee Barciauskas,nsidc/cloud-optimized-icesat2,2,1734538948,1734539912,0,False
Max Jones,cloudnativegeo/cloud-optimized-geospatial-formats-guide,4,1747845331,1749577285,20,False
Julia Signell,cloudnativegeo/cloud-optimized-geospatial-formats-guide,11,1746553913,1777579290,359,True
Jamison French,cloudnativegeo/cloud-optimized-geospatial-formats-guide,2,1692718695,1692727351,0,False
Zac Deziel,cloudnativegeo/cloud-optimized-geospatial-formats-guide,39,1694025984,1751044734,659,False
Alex I. Mandel,cloudnativegeo/cloud-optimized-geospatial-formats-guide,36,1691438228,1749581245,672,False
Nathan Zimmermann,cloudnativegeo/cloud-optimized-geospatial-formats-guide,2,1749502740,1749577055,0,False
Aimee Barciauskas,cloudnativegeo/cloud-optimized-geospatial-formats-guide,130,1690074615,1775156406,984,True
Jonas Sølvsteen,cloudnativegeo/cloud-optimized-geospatial-formats-guide,3,1692778704,1706873956,163,False
Kyle Barron,cloudnativegeo/cloud-optimized-geospatial-formats-guide,123,1692116586,1706889469,170,False
Leo Thomas,cloudnativegeo/cloud-optimized-geospatial-formats-guide,2,1692711686,1692728983,0,False
Alexandra Kirk,radiantearth/stac-spec,25,1566429571,1580258495,160,False
Pete Gadomski,radiantearth/stac-spec,6,1627935309,1723392273,1104,False
Kyle Barron,radiantearth/stac-spec,2,1611703082,1615916421,48,False
Sanjay Bhangar,2i2c-org/jupyterhub-fancy-profiles,52,1713144016,1772491657,686,True
Hanbyul Jo,2i2c-org/jupyterhub-fancy-profiles,7,1763412538,1764190233,9,False
Kyle Barron,datafusion-contrib/arrow-zarr,3,1756341985,1756956938,7,False
Chuck Daniels,earthaccess-dev/earthaccess,72,1710855099,1776860134,763,True
Vincent Sarago,earthaccess-dev/earthaccess,2,1707301982,1707303081,0,False
Wei Ji,earthaccess-dev/earthaccess,2,1742414007,1744327853,22,False
Julius Busecke,earthaccess-dev/earthaccess,1,1754919764,1754919764,0,False
Aimee Barciauskas,earthaccess-dev/earthaccess,3,1705444350,1750895125,526,False
Jennifer Tran,earthaccess-dev/earthaccess,1,1715906244,1715906244,0,False
Julia Signell,stac-extensions/zarr,6,1749749139,1757017324,84,False
Chris Holden,pydata/xarray,1,1508878389,1508878389,0,False
Chuck Daniels,pydata/xarray,1,1739927499,1739927499,0,False
Max Jones,pydata/xarray,4,1701152983,1775756461,863,True
Julia Signell,pydata/xarray,42,1470952465,1776109906,3531,True
Benoît Bovy,pydata/xarray,58,1496426111,1752002419,2958,False
Wei Ji,pydata/xarray,2,1600753230,1669911502,800,False
Julius Busecke,pydata/xarray,4,1536160642,1555418652,222,False
Davis Bennett,pydata/xarray,3,1734538780,1765227542,355,False
Jonas Sølvsteen,pydata/xarray,2,1482167517,1517536906,409,False
Brianna Corremonte,zarr-developers/geozarr-spec,42,1683724303,1756220346,839,False
Max Jones,zarr-developers/geozarr-spec,8,1738078425,1773353056,408,True
Davis Bennett,zarr-developers/geozarr-spec,1,1755189119,1755189119,0,False
Chuck Daniels,zarr-developers/zarr-python,1,1778034029,1778034029,0,True
Max Jones,zarr-developers/zarr-python,51,1707319296,1778035588,818,True
Julia Signell,zarr-developers/zarr-python,1,1751903076,1751903076,0,False
Nathan Zimmermann,zarr-developers/zarr-python,8,1737580587,1743779127,71,False
Davis Bennett,zarr-developers/zarr-python,180,1606170143,1778108151,1990,True
Kyle Barron,zarr-developers/zarr-python,2,1742833832,1745236023,27,False
Chuck Daniels,zarr-developers/VirtualiZarr,15,1737669610,1773087075,409,True
Max Jones,zarr-developers/VirtualiZarr,109,1718044084,1777799485,691,True
Julia Signell,zarr-developers/VirtualiZarr,9,1715356253,1764361217,567,False
Nathan Zimmermann,zarr-developers/VirtualiZarr,2,1720558477,1720558833,0,False
