repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_core_contributors,repo_external_contributors,repo_community_ratio
zarr-developers/zarr-python,1975,402,2015-12-15T14:49:40Z,2026-05-07T06:48:19Z,2862,https://github.com/zarr-developers/zarr-python,"An implementation of chunked, compressed, N-dimensional arrays for Python.","Python,url",39,527,MIT,"zarr,ndimensional-arrays,compressed,python",True,False,main,False,158,6,152,0.962
zarr-developers/VirtualiZarr,273,63,2024-03-08T19:24:24Z,2026-05-07T11:47:01Z,577,https://github.com/zarr-developers/VirtualiZarr,"Cloud-Optimize your Scientific Data as Virtual Zarr stores, using xarray syntax.","Python,url",13,174,Apache-2.0,,True,False,main,False,39,7,32,0.821
zarr-developers/geozarr-spec,196,17,2023-01-20T13:10:25Z,2026-05-07T17:29:56Z,254,https://github.com/zarr-developers/geozarr-spec,GeoZarr defines geospatial conventions for storing multidimensional georeferenced grids using the Zarr format,"HTML,url",30,33,CC-BY-4.0,,False,False,main,False,14,3,11,0.786
pydata/xarray,4142,1258,2013-09-30T17:21:10Z,2026-05-06T11:55:55Z,6424,https://github.com/pydata/xarray,N-D labeled arrays and datasets in Python,"Python,CSS,HTML,Dockerfile,url",97,1355,Apache-2.0,"python,netcdf,numpy,pandas,xarray,dask",True,False,main,False,416,9,407,0.978
stac-extensions/zarr,5,0,2025-06-12T17:25:38Z,2026-05-07T08:42:42Z,6,https://github.com/stac-extensions/zarr,This extension helps users open Zarr assets. It includes core fields from Zarr attributes especially those required when opening Zarr stores.,url,0,2,Apache-2.0,,False,True,main,False,1,1,0,0.0
earthaccess-dev/earthaccess,602,145,2021-08-25T15:25:00Z,2026-05-07T16:11:37Z,1626,https://github.com/earthaccess-dev/earthaccess,Python Library for NASA Earthdata APIs,"Python,Shell,CSS,url",11,155,MIT,"nasa,nasa-api,openscience,data,access,cmr,cloud-computing,gis,open-science,pangeo,remote-sensing,climate-data,nasa-data",True,False,main,False,49,6,43,0.878
datafusion-contrib/arrow-zarr,30,5,2024-01-19T21:00:26Z,2026-04-19T07:55:23Z,33,https://github.com/datafusion-contrib/arrow-zarr,Implementation of Zarr file format in Rust,"Rust,Python,url",10,12,Apache-2.0,,False,True,main,False,4,1,3,0.75
boettiger-lab/earthdatalogin,28,4,2023-09-06T14:58:00Z,2026-02-14T04:16:37Z,150,https://github.com/boettiger-lab/earthdatalogin,Making public access of public data a bit easier,"R,url",1,6,NOASSERTION,,False,True,main,False,4,0,4,1.0
2i2c-org/jupyterhub-fancy-profiles,24,14,2023-04-28T00:17:23Z,2026-05-07T10:34:53Z,376,https://github.com/2i2c-org/jupyterhub-fancy-profiles,"Modern, flexible user-selectable session profiles with jupyterhub-kubespawner","TypeScript,Python,JavaScript,CSS,HTML,Dockerfile,url",4,21,BSD-3-Clause,,False,False,main,False,9,2,7,0.778
radiantearth/stac-spec,894,188,2017-05-10T15:25:31Z,2026-05-06T01:25:54Z,3222,https://github.com/radiantearth/stac-spec,SpatioTemporal Asset Catalog specification - making geospatial assets openly searchable and crawlable,"JavaScript,url",73,42,Apache-2.0,"satellites,satellite-imagery,earth-observation,earth-observation-catalogue",True,False,master,False,57,3,54,0.947
cloudnativegeo/cloud-optimized-geospatial-formats-guide,188,33,2023-07-23T01:02:04Z,2026-05-01T15:55:58Z,382,https://github.com/cloudnativegeo/cloud-optimized-geospatial-formats-guide,Guide to methods for generating and testing Cloud-Optimized Geospatial Formats,"Jupyter Notebook,Lua,TeX,Python,SCSS,CSS,url",14,30,CC-BY-4.0,,True,True,main,False,21,10,11,0.524
nsidc/cloud-optimized-icesat2,12,4,2023-07-25T22:59:52Z,2025-06-19T14:39:38Z,28,https://github.com/nsidc/cloud-optimized-icesat2,,"Jupyter Notebook,TeX,Python,JavaScript,CSS,Lua,url",6,14,NOASSERTION,,False,True,main,False,5,1,4,0.8
apache/arrow-rs,3448,1163,2021-04-17T15:40:05Z,2026-05-07T18:27:59Z,7635,https://github.com/apache/arrow-rs,Official Rust implementation of Apache Arrow,"Rust,Python,Shell,url",51,749,Apache-2.0,"arrow,parquet,rust",True,False,main,False,414,1,413,0.998
jupyterhub/repo2docker,1721,385,2017-05-09T08:36:30Z,2026-05-02T15:34:33Z,3224,https://github.com/jupyterhub/repo2docker,Turn repositories into Jupyter-enabled Docker images,"Python,Shell,Nix,Dockerfile,R,Julia,Makefile,url",38,196,BSD-3-Clause,"jupyterhub,jupyter,docker",False,False,main,False,125,2,123,0.984
geoarrow/geoarrow-rs,403,45,2023-06-30T22:18:22Z,2026-05-07T17:59:24Z,923,https://github.com/geoarrow/geoarrow-rs,"GeoArrow in Rust, Python, and JavaScript (WebAssembly) with vectorized geometry operations","Rust,Python,Jupyter Notebook,Shell,TypeScript,CSS,url",9,81,Apache-2.0,"geospatial,rust,wasm-bindgen,webassembly,apache-arrow,javascript,typescript,geoarrow,pyo3,python,geoparquet",True,False,main,False,23,4,19,0.826
geoarrow/deck.gl-geoarrow,155,13,2023-08-07T19:34:30Z,2026-05-07T13:38:21Z,122,https://github.com/geoarrow/deck.gl-geoarrow,deck.gl layers for rendering GeoArrow data,"TypeScript,Python,url",9,33,MIT,"apache-arrow,deck-gl,geoarrow,data-visualization,geospatial,map-visualization",False,True,main,False,8,2,6,0.75
holoviz/hvplot,1345,119,2018-03-19T14:22:41Z,2026-05-04T05:54:29Z,841,https://github.com/holoviz/hvplot,"A high-level plotting API for pandas, dask, xarray, and networkx built on HoloViews","Python,Shell,url",24,389,BSD-3-Clause,"holoviz,holoviews,plotting,datashader",True,False,main,False,52,1,51,0.981
flatgeobuf/flatgeobuf,797,103,2018-04-13T20:16:03Z,2026-05-07T11:44:37Z,1276,https://github.com/flatgeobuf/flatgeobuf,A performant binary encoding for geographic data based on flatbuffers,"Rust,TypeScript,C#,Java,C++,Go,Shell,JavaScript,HTML,Makefile,CSS,url",18,36,BSD-2-Clause,,True,False,master,False,56,1,55,0.982
virtual-zarr/virtual-tiff,43,6,2025-01-15T20:56:27Z,2026-04-29T21:35:57Z,75,https://github.com/virtual-zarr/virtual-tiff,Produce and explore virtual Zarr with TIFFs,"Python,url",4,23,MIT,,False,True,main,False,6,3,3,0.5
virtual-zarr/hrrr-parser,7,0,2025-07-14T23:07:58Z,2026-03-10T17:20:17Z,20,https://github.com/virtual-zarr/hrrr-parser,Virtualizarr parser for HRRR ,"Python,url",3,1,,,False,False,main,False,1,1,0,0.0
numbagg/numbagg,239,20,2014-10-21T04:10:26Z,2026-05-04T22:21:52Z,555,https://github.com/numbagg/numbagg,Fast N-dimensional aggregation functions with Numba,"Python,url",5,17,NOASSERTION,"python,numba,numpy",False,True,main,False,12,1,11,0.917
stac-utils/rustac-py,52,5,2024-11-21T13:02:22Z,2026-05-07T17:13:55Z,285,https://github.com/stac-utils/rustac-py,The power of Rust for the Python STAC ecosystem,"Python,Rust,Shell,url",2,7,Apache-2.0,"python,stac",True,False,main,False,7,5,2,0.286
stac-utils/stac-fastapi-pgstac,101,50,2022-07-28T01:48:07Z,2026-05-06T08:38:57Z,412,https://github.com/stac-utils/stac-fastapi-pgstac,PostgreSQL backend for stac-fastapi using pgstac (https://github.com/stac-utils/pgstac),"Python,Shell,Makefile,Dockerfile,url",9,39,MIT,,True,False,main,False,46,9,37,0.804
stac-utils/pystac-client,199,59,2021-03-03T03:33:04Z,2026-04-29T09:17:47Z,1062,https://github.com/stac-utils/pystac-client,Python client for searching STAC APIs,"Python,Shell,url",7,24,NOASSERTION,"stac,geospatial,python",False,False,main,False,39,6,33,0.846
stac-utils/pystac,446,130,2017-11-08T13:30:15Z,2026-05-01T03:08:23Z,2210,https://github.com/stac-utils/pystac,Python library for working with any SpatioTemporal Asset Catalog (STAC),"Python,Jinja,Shell,url",21,73,NOASSERTION,,False,False,main,False,69,8,61,0.884
stac-utils/pgstac,208,51,2021-03-09T16:34:19Z,2026-05-06T08:38:45Z,248,https://github.com/stac-utils/pgstac,"Schema, functions and a python library for storing and accessing STAC collections and items in PostgreSQL","PLpgSQL,Python,Shell,Dockerfile,url",13,64,MIT,"postgis,stac,sql",True,True,main,False,24,8,16,0.667
stac-utils/xpystac,45,3,2023-01-27T21:51:00Z,2026-05-06T15:24:29Z,42,https://github.com/stac-utils/xpystac,For extending xarray.open_dataset to accept pystac objects,"Python,url",3,7,MIT,,False,True,main,False,2,2,0,0.0
earth-mover/icechunk,624,68,2024-07-30T02:48:26Z,2026-05-07T08:26:12Z,1423,https://github.com/earth-mover/icechunk,"Open-source, cloud-native transactional tensor storage engine","Rust,Python,HTML,TypeScript,Just,CSS,Nix,JavaScript,Shell,url",19,275,Apache-2.0,"cloud,database,xarray,zarr",True,False,main,False,43,4,39,0.907
nasa/python_cmr,28,25,2021-10-12T18:42:50Z,2026-04-16T20:18:29Z,131,https://github.com/nasa/python_cmr,Python library for querying the common metadata repository.,"Python,url",2,18,MIT,,True,True,develop,False,19,2,17,0.895
georust/geo-svg,23,9,2023-10-29T17:31:34Z,2025-10-16T15:27:13Z,80,https://github.com/georust/geo-svg,A rust library to generate SVGs for geo-types,"Rust,Nix,url",4,6,,,False,True,main,False,14,1,13,0.929
NASA-Openscapes/earthdata-cloud-cookbook,107,43,2021-06-08T00:26:43Z,2026-05-05T18:03:27Z,1172,https://github.com/NASA-Openscapes/earthdata-cloud-cookbook,A tutorial book of workflows for research using NASA EarthData in the Cloud created by the NASA-Openscapes team,"Jupyter Notebook,JavaScript,Dockerfile,Python,Lua,SCSS,CSS,HTML,Shell,R,url",12,82,NOASSERTION,,True,True,main,False,38,2,36,0.947
conda-forge/r-lasr-feedstock,0,4,2025-04-25T21:15:36Z,2026-04-22T22:24:12Z,67,https://github.com/conda-forge/r-lasr-feedstock,A conda-smithy repository for r-lasr.,"Shell,url",9,2,BSD-3-Clause,,False,False,main,False,7,1,6,0.857
developmentseed/obspec-utils,12,2,2025-06-20T19:49:00Z,2026-04-28T21:02:47Z,62,https://github.com/developmentseed/obspec-utils,"Utilities for interacting with object storage, based on obspec","Python,url",3,12,Apache-2.0,,False,True,main,False,3,2,1,0.333
geopandas/geopandas,5124,1014,2013-06-27T17:03:47Z,2026-05-06T14:33:07Z,2201,https://github.com/geopandas/geopandas,Python tools for geographic data,"Python,Shell,url",106,422,BSD-3-Clause,"geoparquet,geospatial,pandas,python,spatial",True,True,main,False,246,3,243,0.988
pangeo-data/pangeo.io,18,13,2024-09-09T14:26:27Z,2026-04-27T16:22:35Z,703,https://github.com/pangeo-data/pangeo.io,Pangeo Website,"JavaScript,url",1,18,Apache-2.0,,False,True,main,False,25,5,20,0.8
pangeo-data/pangeo-docker-images,138,108,2020-02-19T01:23:30Z,2026-05-03T21:31:53Z,934,https://github.com/pangeo-data/pangeo-docker-images,Docker Images For Pangeo Jupyter Environment,"Dockerfile,Python,Makefile,Shell,url",10,35,MIT,"docker,jupyter,python,pangeo",False,True,master,False,38,5,33,0.868
